tournament_year,match_date,home_team,away_team,decision_type,beneficiary_team,against_team,description,source_url
2026,2026-06-24,Bosnia and Herzegovina,Qatar,other,,,28': ESPN commentary logs 'VAR Decision: Other Decision Cancelled'; the nature of the cancelled decision is not specified in the feed. Included for completeness; treat with caution.,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760462
2026,2026-06-24,Morocco,Haiti,other,,,57': ESPN commentary logs 'VAR Decision: Other Decision Cancelled'; the nature of the cancelled decision is not specified in the feed. Included for completeness; treat with caution.,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760464
2026,2026-06-26,Senegal,Iraq,other,,,87': ESPN commentary logs 'VAR Decision: Other Decision Cancelled'; the nature of the cancelled decision is not specified in the feed. Included for completeness; treat with caution.,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760474
2026,2026-06-27,Cape Verde,Saudi Arabia,other,,,39': ESPN commentary logs 'VAR Decision: Other Decision Cancelled'; the nature of the cancelled decision is not specified in the feed. Included for completeness; treat with caution.,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760478
2026,2026-06-27,Cape Verde,Saudi Arabia,other,,,88': ESPN commentary logs 'VAR Decision: Other Decision Cancelled'; the nature of the cancelled decision is not specified in the feed. Included for completeness; treat with caution.,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760478
2026,2026-06-27,Colombia,Portugal,other,,,31': ESPN commentary logs 'VAR Decision: Other Decision Cancelled'; the nature of the cancelled decision is not specified in the feed. Included for completeness; treat with caution.,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760481
2026,2026-06-28,South Africa,Canada,other,,,15': ESPN commentary logs 'VAR Decision: Other Decision Cancelled'; the nature of the cancelled decision is not specified in the feed. Included for completeness; treat with caution.,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760486
2026,2026-06-28,South Africa,Canada,other,,,37': ESPN commentary logs 'VAR Decision: Other Decision Cancelled'; the nature of the cancelled decision is not specified in the feed. Included for completeness; treat with caution.,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760486
2026,2026-07-02,Spain,Austria,other,,,9': ESPN commentary logs 'VAR Decision: Other Decision Cancelled'; the nature of the cancelled decision is not specified in the feed. Included for completeness; treat with caution.,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760497
2026,2026-07-07,United States,Belgium,other,,,45'+1': ESPN commentary logs 'VAR Decision: Other Decision Cancelled'; the nature of the cancelled decision is not specified in the feed. Included for completeness; treat with caution.,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760507
2026,2026-07-07,Argentina,Egypt,other,,,32': ESPN commentary logs 'VAR Decision: Other Decision Cancelled'; the nature of the cancelled decision is not specified in the feed. Included for completeness; treat with caution.,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760509
2026,2026-07-07,Switzerland,Colombia,other,,,40': ESPN commentary logs 'VAR Decision: Other Decision Cancelled'; the nature of the cancelled decision is not specified in the feed. Included for completeness; treat with caution.,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760508
2026,2026-07-14,France,Spain,other,,,83': ESPN commentary logs 'VAR Decision: Other Decision Cancelled'; the nature of the cancelled decision is not specified in the feed. Included for completeness; treat with caution.,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760514
